channel,error
x_raw,'numpy.ndarray' object has no attribute 'values'
a,'numpy.ndarray' object has no attribute 'values'
b,'numpy.ndarray' object has no attribute 'values'
y,'numpy.ndarray' object has no attribute 'values'
x_hat,'numpy.ndarray' object has no attribute 'values'
omega,'numpy.ndarray' object has no attribute 'values'
F,'numpy.ndarray' object has no attribute 'values'
S,'numpy.ndarray' object has no attribute 'values'
C,'numpy.ndarray' object has no attribute 'values'
tau_R,'numpy.ndarray' object has no attribute 'values'
IC,'numpy.ndarray' object has no attribute 'values'
kappa,'numpy.ndarray' object has no attribute 'values'
U,'numpy.ndarray' object has no attribute 'values'
near_wall,'numpy.ndarray' object has no attribute 'values'
oor_flag,'numpy.ndarray' object has no attribute 'values'
